country,x,y
Algeria,-134,202
Angola,-5,-103
Benin,-123,66
Botswana,24,-183
Burkina Faso,-170,82
Burundi,79,-45
Cape Verde,-316,107
Cameroon,-68,29
Central African Republic,-22,38
Chad,-22,106
Comoros,183,-99
Democratic Republic Of The Congo,-17,-46
Republic Of The Congo,-30,-10
Cote D'Ivoire,-193,38
Djibouti,176,81
Egypt,50,189
Equatorial Guinea,-108,-5
Eritrea,140,110
Eswatini,92,-217
Ethiopia,150,47
Gabon,-71,-23
Gambia,-268,90
Ghana,-161,34
Guinea,-240,79
Guinea-Bissau,-301,90
Kenya,146,-30
Lesotho,67,-242
Liberia,-209,27
Libya,-57,203
Madagascar,196,-142
Malawi,109,-113
Mali,-184,128
Mauritania,-259,140
Mauritius,279,-160
Morocco,-208,241
Mozambique,122,-185
Namibia,-27,-165
Niger,-108,104
Nigeria,-104,80
Rwanda,80,-30
Sao Tome And Principe,-155,-15
Senegal,-235,98
Seychelles,263,-41
Sierra Leone,-268,46
Somalia,198,22
South Africa,5,-268
South Sudan,69,29
Sudan,50,137
Tanzania,107,-70
Togo,-135,38
Tunisia,-74,268
Uganda,87,-6
Zambia,45,-126
Zimbabwe,75,-159
Reunion,251,-183

